V1 V2 pop country continent lang
Karitiana907 1018 82 Karitiana Brazil AMERICA Tupi
Karitiana909 1019 82 Karitiana Brazil AMERICA Tupi
Surui911 830 83 Surui Brazil AMERICA Tupi
Surui913 832 83 Surui Brazil AMERICA Tupi
Surui915 833 83 Surui Brazil AMERICA Tupi
Surui917 834 83 Surui Brazil AMERICA Tupi
Surui919 835 83 Surui Brazil AMERICA Tupi
Surui921 837 83 Surui Brazil AMERICA Tupi
Surui923 838 83 Surui Brazil AMERICA Tupi
Surui925 839 83 Surui Brazil AMERICA Tupi
Surui927 840 83 Surui Brazil AMERICA Tupi
Surui929 841 83 Surui Brazil AMERICA Tupi
Surui931 842 83 Surui Brazil AMERICA Tupi
Surui933 843 83 Surui Brazil AMERICA Tupi
Surui935 844 83 Surui Brazil AMERICA Tupi
Surui937 845 83 Surui Brazil AMERICA Tupi
Surui939 846 83 Surui Brazil AMERICA Tupi
Surui941 847 83 Surui Brazil AMERICA Tupi
Surui943 848 83 Surui Brazil AMERICA Tupi
Surui945 849 83 Surui Brazil AMERICA Tupi
Surui947 850 83 Surui Brazil AMERICA Tupi
Surui949 851 83 Surui Brazil AMERICA Tupi
Surui951 852 83 Surui Brazil AMERICA Tupi
Maya953 854 86 Maya Mexico AMERICA Mayan
Maya955 855 86 Maya Mexico AMERICA Mayan
Maya957 856 86 Maya Mexico AMERICA Mayan
Maya959 857 86 Maya Mexico AMERICA Mayan
